fuel,reg_year,age,emissions,std_error,n
car_bev,2018,1,11.037896192777742,0.02582887711420986,12387
car_bev,2018,2,11.641059783913482,0.02782959235288766,12387
car_bev,2018,3,12.310039726646895,0.030401284915859302,12389
car_bev,2018,4,12.949648024794143,0.033269879515556516,12055
car_bev,2018,5,13.511295316248304,0.03549128542185508,11979
car_bev,2018,6,13.777399895901416,0.040719702062916724,9688
car_bev,2019,0,10.94292186435337,0.012471307448019664,31534
car_bev,2019,1,11.550208166756384,0.013271151387239001,31534
car_bev,2019,2,12.206560472614662,0.014428117284669322,31534
car_bev,2019,3,12.886995226280971,0.01592849001085138,31535
car_bev,2019,4,13.462329861958251,0.01746993097256583,30574
car_bev,2019,5,13.810602616864266,0.02019649465595797,25316
car_bev,2020,0,11.265326345119663,0.007478304543947604,94447
car_bev,2020,1,11.979457277939462,0.008080836624750884,94447
car_bev,2020,2,12.702190386156156,0.008870079169988433,94447
car_bev,2020,3,13.316145436605606,0.0096657437481587,94448
car_bev,2020,4,13.725089133916859,0.011246509240118562,75051
car_bev,2021,0,11.296735459993869,0.005352542081906856,145886
car_bev,2021,1,12.085496148197327,0.0058801639497716805,145886
car_bev,2021,2,12.7476416076724,0.006486132896726134,145886
car_bev,2021,3,13.288153454404853,0.007076276926032463,145886
car_diesel,2005,0,9.12697500781293,0.0071264477910399126,38739
car_diesel,2005,1,14.213258479879938,0.01846357491036305,38739
car_diesel,2005,2,19.299541951946946,0.03246357136981123,38739
car_diesel,2005,3,24.431404924274474,0.046994311477902916,38739
car_diesel,2005,4,28.60927619326005,0.05706312516244123,37643
car_diesel,2005,5,32.51977704124399,0.06516767266947607,37701
car_diesel,2005,6,36.19741870037273,0.07268775229448037,37644
car_diesel,2005,7,39.70278764856411,0.07952346137697586,37604
car_diesel,2005,8,43.05046388113749,0.08596159576692715,37493
car_diesel,2005,9,46.29105819547156,0.09154793419421069,37533
car_diesel,2005,10,49.49182517716259,0.09740993608578684,37481
car_diesel,2005,11,52.45422220978632,0.10344987664576728,36752
car_diesel,2005,12,55.61549696279542,0.11371221606901377,33437
car_diesel,2005,13,58.36996936321537,0.11364940093086179,36847
car_diesel,2005,14,61.09028239011963,0.11938633983723565,36158
car_diesel,2005,15,63.56755409227311,0.12715300153886006,34209
car_diesel,2005,16,65.83428677043149,0.12742948358733303,36286
